dist_mpc,vel_kms
37.29999923706055,3561.0
60.0,3714.0
125.9000015258789,9132.0
80.19999694824219,7199.0
121.9000015258789,8773.0
38.20000076293945,1799.0
157.89999389648438,11678.0
92.5,6076.0
152.8000030517578,9908.0
182.8000030517578,12864.0
58.20000076293945,3603.0
10.5,659.0
152.10000610351562,11594.0
29.200000762939453,2348.0
148.10000610351562,11083.0
135.5,12876.0
116.9000015258789,8713.0
154.89999389648438,10159.0
113.80000305175781,8629.0
18.399999618530273,1503.0
115.9000015258789,11470.0
43.900001525878906,2917.0
21.299999237060547,1207.0
55.70000076293945,4592.0
146.60000610351562,13130.0
54.20000076293945,4154.0
125.9000015258789,10656.0
187.10000610351562,14906.0
23.200000762939453,950.0
195.89999389648438,15759.0
185.39999389648438,10097.0
62.5,6855.0
19.299999237060547,1525.0
28.799999237060547,1311.0
171.39999389648438,14799.0
93.30000305175781,8808.0
98.19999694824219,4895.0
82.0,5911.0
20.200000762939453,1292.0
67.9000015258789,5501.0
163.6999969482422,10512.0
102.30000305175781,8369.0
80.9000015258789,9970.0
194.6999969482422,14697.0
38.70000076293945,5037.0
63.79999923706055,5511.0
79.0999984741211,8016.0
117.5,8038.0
61.900001525878906,6962.0
107.5999984741211,5580.0
133.0,8581.0
152.10000610351562,10473.0
114.80000305175781,10125.0
141.89999389648438,10871.0
164.39999389648438,12346.0
79.0999984741211,7273.0
120.80000305175781,10416.0
154.89999389648438,15873.0
147.89999389648438,10313.0
162.89999389648438,11087.0
143.89999389648438,9288.0
166.0,13561.0
116.9000015258789,7582.0
24.5,1748.0
25.5,1239.0
116.9000015258789,12593.0
36.70000076293945,2280.0
115.9000015258789,8280.0
136.10000610351562,14602.0
131.8000030517578,10689.0
96.80000305175781,6987.0
121.30000305175781,8744.0
22.700000762939453,2072.0
162.1999969482422,15975.0
112.19999694824219,7782.0
168.3000030517578,11568.0
51.79999923706055,3029.0
133.6999969482422,13435.0
130.60000610351562,7766.0
169.0,9897.0
48.5,5003.0
17.100000381469727,887.0
33.0,2032.0
98.5999984741211,7310.0
36.5,3206.0
73.0999984741211,5702.0
137.39999389648438,14941.0
82.0,6482.0
187.89999389648438,13751.0
178.60000610351562,10892.0
63.099998474121094,4451.0
134.3000030517578,12928.0
62.20000076293945,5185.0
64.0,5712.0
65.5,4421.0
177.8000030517578,11113.0
132.3000030517578,7654.0
117.5,6447.0
102.30000305175781,7637.0
47.0,4499.0
169.0,13425.0
67.80000305175781,7968.0
73.0999984741211,5719.0
119.69999694824219,7635.0
94.19999694824219,9468.0
85.0999984741211,5293.0
139.3000030517578,9369.0
110.19999694824219,9268.0
165.1999969482422,8484.0
55.20000076293945,4043.0
89.9000015258789,5051.0
72.80000305175781,7459.0
67.30000305175781,3968.0
23.799999237060547,1463.0
138.0,9635.0
153.5,8452.0
44.70000076293945,4371.0
61.900001525878906,5329.0
67.0,5295.0
80.9000015258789,5197.0
137.39999389648438,14477.0
112.69999694824219,8390.0
